排名,标题,互动总量,游戏化语言密度,封面图类型,评论区最强诉求
1,我也好想这么肆无忌惮的活一次啊,719119,0,待标注,见详细数据
2,,546595,0,待标注,见详细数据
3,"拒绝精神内耗,有事直接发疯!",540480,0,待标注,见详细数据
4,我不过是她发泄的工具罢了…,58081,0,待标注,见详细数据
5,大块人心解气时刻,45412,0,待标注,见详细数据
6,分手后不小心揍了前任支付宝小鸡,43532,1,待标注,见详细数据
7,"亲爱的,我们都别回头。",35994,0,待标注,见详细数据
8,"一段感情的结束,不是一个人的问题.",25029,0,待标注,见详细数据
9,"不知道为什么,特别害怕被打,被报复……",17401,1,待标注,见详细数据
10,小咩羊｜突然被分手了,15274,0,待标注,见详细数据
11,,15676,0,待标注,见详细数据
12,分手后的一些感悟,12474,0,待标注,见详细数据
13,宅家不无聊🎮越玩越上瘾的解压宝藏小游戏,11925,3,待标注,见详细数据
14,失恋后你一个人是如何熬过去的？,11064,0,待标注,见详细数据
15,工作之后最爱用的头像,8460,0,待标注,见详细数据
16,失恋了就来玩这个水滑道😱保准忘记一切烦恼,9465,1,待标注,见详细数据
17,"我知道很难,但是一定要学会放下,为自己",4671,0,待标注,见详细数据
18,"报复一个人最狠的方法,不动声色做好这两点",3750,0,待标注,见详细数据
19,分手后的正确操作(三):我发疯我快乐,3939,0,待标注,见详细数据
20,总是想给男朋友脸上来一拳也是生理性喜欢吗,7793,0,待标注,见详细数据
